n1	t	n2
pépère I	Syn	grand-papa
pépère I	Syn	aïeul I
pépère I	Syn	grand-père I
pépère I	Contr	mémère I
capuchon I	Syn	capuche
frangine	Syn	sœurette
frangine	Syn	sœur I
frangine	Contr	frangin
frangine	Contr	frérot
frangine	Contr	frère I
sororal	S0	sœur I
sweat-shirt	Syn	pull
sweat-shirt	Syn	sweat
casque 2	S2	ordinateur
casque 2	S2	télévision II
casque 2	S2	baladeur
casque 2	Real1	mettre I.2a
ivrogne N, fém	Syn	ivrognesse
ivrogne N, fém	Syn	ivrogne N, masc
ivrogne N, fém	A1	ivrogne Adj
ivrogne N, fém	Syn	alcoolique N, fém
ivrognesse	Syn	ivrogne N, fém
ivrognesse	Syn	ivrogne N, masc
ivrognesse	A1	ivrogne Adj
ivrognesse	Syn	alcoolique N, fém
bretelles I.2	Contr	ceinture I.1
shampooing 2	Syn	savon 1 a
jumelle I.b	Syn	jumeau N I.b
jumelle I.b	A1	jumeau Adj I
jumelle I.b	Mult	jumelles I.a
taché	Syn	sale Adj I.1
gémellaire	S0	jumeaux N I.a
toilette III.3	Syn	vêtements I.2
toilette III.3	Bon	beau Adj I.2
toilette III.3	Bon	élégant I
toilette III.3	Bon	joli Adj
toilette III.3	Bon	pimpant
toilette III.3	Bon	raffiné I
toilette III.3	Bon	ravissant
toilette III.3	Bon	soigné II
toilette III.3	Real1	avoir V I.2
toilette III.3	Real1	porter IV
toilette III.3	Real1	avec I.1
toilette III.3	Real1	dans I.3
toilette III.3	Real1	en Prép III.2
toilette III.3	Real1	habillé 1
toilette III.3	Real1	vêtu
toilette III.3	Real1	enfiler II
toilette III.3	Real1	mettre I.2a
toilette III.3	Real1	passer VI.a
toilette III.3	Real1	se vêtir
toilette III.3	Real1	s’habiller 1
toilette III.3	AntiBon	négligé
toilette III.3	Magn	grand Adj III.2
toilette III.3	Func0	créer I
toilette III.3	Func0	couturier a
toilette III.3	Ver	adéquat
toilette III.3	Ver	approprié
gouttière II	Syn	attelle
véhicule I.b	Fact0	rouler 1 VI.2a
véhicule I.b	Fact0	se déplacer I.1
véhicule I.b	Fact0	avancer I.1
véhicule I.b	Fact0	circuler I.1
véhicule I.b	S1	conductrice a
véhicule I.b	S1	conducteur I.a
véhicule I.b	Fact0	démarrer I.2
véhicule I.b	Fact0	s’arrêter I.1
véhicule I.b	Real1	conduire II
véhicule I.b	Real1	se déplacer I.2b
véhicule I.b	Real1	rouler 1 VI.3
véhicule I.b	Syn	automobile N I
véhicule I.b	Syn	auto I
véhicule I.b	Syn	voiture 2a
véhicule I.b	Syn	autocar
véhicule I.b	Syn	car N
véhicule I.b	Syn	autobus
véhicule I.b	Syn	bus
véhicule I.b	Syn	camion
véhicule I.b	Syn	poids lourd
véhicule I.b	Syn	camionnette
véhicule I.b	Syn	fourgonnette
véhicule I.b	Contr	deux-roues
véhicule I.b	S1	occupant N I
véhicule I.b	S2	passager N
véhicule I.b	S2	passagère
véhicule I.b	S2	cargaison
véhicule I.b	S2	chargement II
véhicule I.b	S2	fret I
véhicule I.b	Fact0	arrêter I
véhicule I.b	Fact0	démarrer I.2
véhicule I.b	Loc	à bord II
véhicule I.b	Loc	dans I.1
véhicule I.b	Real1	au volant
véhicule I.b	Real1	prendre le volant
véhicule I.b	Real1	monter II.1
véhicule I.b	Real1	prendre place
jumeau Adj I	S1	jumeau N I.b
jumeau Adj I	S1	jumelle I.b
jumeau Adj I	S1	jumeaux N I.a
jumeau Adj I	S1	jumelles I.a
agglomération II	Syn	métropole I
agglomération I	Syn	accumulation
habitation II	Syn	logement
habitation II	Syn	maison I.1
habitation II	Syn	appartement 1
habitation II	AntiMagn	taudis
camper 1 II	Syn	avoir V II
cabane II.2	Syn	prison II
cabane II.2	Syn	taule 2
sweat	Syn	sweat-shirt
sweat	Syn	pull
ivrogne Adj	Syn	alcoolique Adj 2
filleul	S2	marraine
filleul	S2	parrain I
filleul	Syn	filleule
filleule	S2	marraine
filleule	S2	parrain I
filleule	Syn	filleul
se laver I	Syn	se baigner I
se laver I	Syn	se doucher
se laver I	S0	toilette I.1a
se laver I	Sinstr	lavabo I
se laver I	Sinstr	baignoire
se laver I	Sinstr	douche II.1
se laver I	Sinstr	savon 1 a
se laver I	Sinstr	gel douche a
se laver I	Sloc	salle de bain
se laver I	Sloc	salle de douche
se laver I	Sloc	salle d’eau
chaussure II	Gener	secteur
chaussure II	S1	ouvrier N
chaussure II	S1	ouvrière
chaussure II	S1	chausseur
chaussure II	S1	chausseuse
enfant N, masc I.1	S2	mère 1 I.1a
enfant N, masc I.1	S2	père I.1a
enfant N, masc I.1	Syn	petit N 2a
enfant N, masc I.1	Syn	marmot 2
enfant N, masc I.1	Syn	fils I
enfant N, masc I.1	Syn	fille I
enfant N, masc I.1	S2	parents N 1a
enfant N, masc I.1	Syn	enfant N, fém I.1
enfant N, masc I.1	Syn	gamin N I.2
enfant N, masc I.1	Syn	gosse N, masc 2
se laver II	Syn	se débarrasser II
godasses	Syn	chaussures I
godasses	Syn	grolles
godasses	Syn	pompes 2
godasses	Syn	tatanes
plein Adj V	Syn	ivre I.1
plein Adj V	Syn	saoul Adj I
plein Adj V	Syn	blindé Adj III
plein Adj V	Syn	cuité
plein Adj V	Syn	bourré III
plein Adj V	Syn	pinté
plein Adj V	Syn	beurré 2
plein Adj V	Syn	rond Adj III
plein Adj V	Syn	pété
plein Adj V	Syn	torché 2
plein Adj V	Syn	déchiré III
plein Adj V	Syn	raide Adj II
plein Adj V	Syn	arraché
laver II	Syn	nettoyer I.1b
laver II	Anti	salir 2
grolles	Syn	chaussures I
grolles	Syn	godasses
grolles	Syn	pompes 2
grolles	Syn	tatanes
nièce	S2	tante I
nièce	S2	oncle
nièce	Contr	neveu
nièce	Mult	famille I.a
nièce	Gener	parente
avunculaire	S0	tante I
avunculaire	S0	oncle
pompes 2	Syn	tatanes
pompes 2	Syn	grolles
pompes 2	Syn	godasses
pompes 2	Syn	chaussures I
pompes 2	Real1	enfiler II
pompes 2	Real1	mettre I.2a
pompes 2	Real1	passer VI.a
tatanes	Syn	pompes 2
tatanes	Syn	grolles
tatanes	Syn	godasses
tatanes	Syn	chaussures I
baskets N, fém	Syn	tennis N, fém
porte 2	S1	meuble N I.1a
orpheline a	Syn	orphelin N I.a
orpheline a	Syn	pupille N, fém
orpheline a	A0	orphelin Adj I.2
orpheline a	S2	mère 1 I.1a
orpheline a	S2	père I.1a
orpheline a	S2	parents N 1a
orpheline a	Sloc	orphelinat
orpheline a	A1	orphelin Adj I.1a
orpheline a	Syn	abandonnée N, fém
orpheline a	Syn	orpheline b
orphelin Adj I.1a	S1	orphelin N I.a
orphelin Adj I.1a	S1	orpheline a
orphelin Adj I.1a	S2	mère 1 I.1a
orphelin Adj I.1a	S2	père I.1a
orphelin Adj I.1a	S2	parents N 1a
orphelin Adj I.1a	Syn	pupille Adj
orphelin Adj I.1a	Syn	abandonné Adj 2
orphelin Adj I.1a	Syn	orphelin Adj I.1b
pété	Syn	ivre I.1
pété	Syn	saoul Adj I
pété	Syn	blindé Adj III
pété	Syn	cuité
pété	Syn	bourré III
pété	Syn	pinté
pété	Syn	beurré 2
pété	Syn	rond Adj III
pété	Syn	plein Adj V
pété	Syn	torché 2
pété	Syn	déchiré III
pété	Syn	raide Adj II
pété	Syn	arraché
rond Adj III	Syn	ivre I.1
rond Adj III	Syn	saoul Adj I
rond Adj III	Syn	blindé Adj III
rond Adj III	Syn	cuité
rond Adj III	Syn	bourré III
rond Adj III	Syn	pinté
rond Adj III	Syn	beurré 2
rond Adj III	Syn	plein Adj V
rond Adj III	Syn	pété
rond Adj III	Syn	torché 2
rond Adj III	Syn	déchiré III
rond Adj III	Syn	raide Adj II
rond Adj III	Syn	arraché
tapis III	Syn	couche 1 1
chausson II.1	Gener	pâtisserie II
chausson II.1	Gener	viennoiserie
chausson II.1	Real@	farcir
chausson II.1	S2	pomme I
pantoufles	Syn	chaussons I.1
parental	S0	parents N 1a
beurré 2	Syn	ivre I.1
beurré 2	Syn	saoul Adj I
beurré 2	Syn	blindé Adj III
beurré 2	Syn	cuité
beurré 2	Syn	bourré III
beurré 2	Syn	pinté
beurré 2	Syn	rond Adj III
beurré 2	Syn	plein Adj V
beurré 2	Syn	pété
beurré 2	Syn	torché 2
beurré 2	Syn	déchiré III
beurré 2	Syn	raide Adj II
beurré 2	Syn	arraché
géniteur	Syn	père I.1a
géniteur	Syn	génitrice
botte 2	Syn	bouquet I.2
procréateur	Syn	procréatrice
vieux N II	Syn	père I.1a
pinté	Syn	ivre I.1
pinté	Syn	saoul Adj I
pinté	Syn	blindé Adj III
pinté	Syn	cuité
pinté	Syn	bourré III
pinté	Syn	beurré 2
pinté	Syn	rond Adj III
pinté	Syn	plein Adj V
pinté	Syn	pété
pinté	Syn	torché 2
pinté	Syn	déchiré III
pinté	Syn	raide Adj II
pinté	Syn	arraché
vioc	Syn	vieux N I
vioc	Syn	vioque
daron	Syn	dab
daron	Syn	pater
daron	Syn	paternel N
daron	Syn	père I.1a
daron	Syn	daronne
bourré III	Syn	ivre I.1
bourré III	Syn	saoul Adj I
bourré III	Syn	blindé Adj III
bourré III	Syn	cuité
bourré III	Syn	pinté
bourré III	Syn	beurré 2
bourré III	Syn	rond Adj III
bourré III	Syn	plein Adj V
bourré III	Syn	pété
bourré III	Syn	torché 2
bourré III	Syn	déchiré III
bourré III	Syn	raide Adj II
bourré III	Syn	arraché
vestiaire 2	S1	gymnase
vestiaire 2	S1	piscine
blindé Adj III	Syn	ivre I.1
blindé Adj III	Syn	saoul Adj I
blindé Adj III	Syn	cuité
blindé Adj III	Syn	bourré III
blindé Adj III	Syn	pinté
blindé Adj III	Syn	beurré 2
blindé Adj III	Syn	rond Adj III
blindé Adj III	Syn	plein Adj V
blindé Adj III	Syn	pété
blindé Adj III	Syn	torché 2
blindé Adj III	Syn	déchiré III
blindé Adj III	Syn	raide Adj II
blindé Adj III	Syn	arraché
discothèque	S1	client
discothèque	S1	cliente
table I.1b	Real1	quitter II.2
table I.1b	Real1	sortir I.2
table I.1b	Real1	se lever I.a
table I.1b	Real1	chaise I
table I.1b	Real1	couvert N I.3
table I.1b	Real1	se mettre I
table I.1b	Real1	s’installer II
table I.1b	Real1	s’asseoir I.a
table I.1b	Real1	passer I.1a
table I.1b	Real1	prendre place
table I.1b	Real1	s’attabler
table I.1b	Fact1	mettre III
table I.1b	Fact1	dresser III.1
table I.1b	Fact1	préparer I.1
table I.1b	Fact0	débarrasser I
table I.1b	Fact0	desservir 2
table I.1b	S1	tablée
table I.1b	Real@	inviter I
table I.1b	Real@	convier
table I.1b	Real2	servir III.1
table I.1b	Real2	apporter I
table I.1b	Real2	porter III.1
table I.1b	Real1	rester I
table I.1b	Real1	traîner IV.2
table I.1b	Syn	table d’honneur
veuf N	Syn	veuve
veuve	Syn	veuf N
cuité	Syn	ivre I.1
cuité	Syn	saoul Adj I
cuité	Syn	blindé Adj III
cuité	Syn	bourré III
cuité	Syn	pinté
cuité	Syn	beurré 2
cuité	Syn	rond Adj III
cuité	Syn	plein Adj V
cuité	Syn	pété
cuité	Syn	torché 2
cuité	Syn	déchiré III
cuité	Syn	raide Adj II
cuité	Syn	arraché
bouton I	Syn	bourgeon
bouton II	Syn	enflure
bouton II	Syn	abcès I
bouton II	Mult	plaque I.3
torché 2	Syn	ivre I.1
torché 2	Syn	saoul Adj I
torché 2	Syn	blindé Adj III
torché 2	Syn	cuité
torché 2	Syn	bourré III
torché 2	Syn	pinté
torché 2	Syn	beurré 2
torché 2	Syn	rond Adj III
torché 2	Syn	plein Adj V
torché 2	Syn	pété
torché 2	Syn	déchiré III
torché 2	Syn	raide Adj II
torché 2	Syn	arraché
bouton III.2	Syn	interrupteur
petite amie	Syn	petit ami
siège III.1	Syn	siège social
siège III.1	Syn	bureau II.3a
siège III.1	Syn	centre III
siège IV	S2	ville I.1a
siège IV	S1	armée
siège IV	S1	troupe a
siège IV	Oper1	faire II.1
siège IV	Liqu	lever V VII
siège IV	Func0	mettre V.1
siège IV	V0	assiéger
siège IV	V0	investir
siège IV	Syn	blocus
siège IV	Syn	encerclement
siège IV	Syn	poche V
copain 1	Syn	pote N, masc
copain 1	Syn	ami N I.1
copain 1	Syn	copine 1
copain 2	Syn	ami N I.2
copain 2	Syn	petit ami
copain 2	Syn	copine 2
lit IV.1a	Syn	couche 1 1
lit V.a	Real1	couler I.1
lit V.a	AntiVer	à sec I.1
lit V.a	AntiVer	asséché
lit V.a	S1	cours d’eau
lit V.a	S1	fleuve I
lit V.a	S1	rivière I
lit V.a	S1	ruisseau
lit V.a	S1	torrent I
lit V.a	A1	dans I.2
mec 1	Syn	mâle N 2
mec 2	Syn	petit ami
coffre II	S1	voiture 2a
déchiré III	Syn	saoul Adj I
déchiré III	Syn	ivre I.1
déchiré III	Syn	blindé Adj III
déchiré III	Syn	cuité
déchiré III	Syn	bourré III
déchiré III	Syn	pinté
déchiré III	Syn	beurré 2
déchiré III	Syn	rond Adj III
déchiré III	Syn	plein Adj V
déchiré III	Syn	pété
déchiré III	Syn	torché 2
déchiré III	Syn	raide Adj II
déchiré III	Syn	arraché
déchiré III	Syn	drogué Adj
boutonnage 1a	V0	se boutonner
violoniste N, masc	Syn	violoniste N, fém
violoniste N, masc	Syn	violon I.b
violoniste N, fém	Syn	violoniste N, masc
violoniste N, fém	Syn	violon I.b
raide Adj II	Syn	ivre I.1
raide Adj II	Syn	saoul Adj I
raide Adj II	Syn	blindé Adj III
raide Adj II	Syn	cuité
raide Adj II	Syn	bourré III
raide Adj II	Syn	pinté
raide Adj II	Syn	beurré 2
raide Adj II	Syn	rond Adj III
raide Adj II	Syn	plein Adj V
raide Adj II	Syn	pété
raide Adj II	Syn	torché 2
raide Adj II	Syn	déchiré III
raide Adj II	Syn	arraché
petit copain	Syn	ami N I.2
petit copain	Syn	petit ami
coffre III	Syn	poitrine 4
coffre III	Syn	poitrine 1a
boutonnage 2	V0	boutonner
trompettiste N, masc	Syn	trompettiste N, fém
trompettiste N, masc	Syn	trompette N, masc b
trompettiste N, masc	Syn	trompette N, fém II
trompettiste N, masc	Gener	musicien N
trompettiste N, fém	Syn	trompettiste N, masc
valise II	Syn	poches III.3
flûtiste N, masc	Syn	flûtiste N, fém
flûtiste N, fém	Syn	flûtiste N, masc
guitariste N, masc	Syn	guitariste N, fém
guitariste N, masc	Gener	musicien N
guitariste N, masc	Sinstr	guitare
guitariste N, fém	Syn	guitariste N, masc
guitariste N, fém	Gener	musicien N
guitariste N, fém	Gener	musicienne
guitariste N, fém	Sinstr	guitare
pianiste N, masc	Syn	pianiste N, fém
pianiste N, fém	Syn	pianiste N, masc
arraché	Syn	ivre I.1
arraché	Syn	saoul Adj I
arraché	Syn	blindé Adj III
arraché	Syn	cuité
arraché	Syn	bourré III
arraché	Syn	pinté
arraché	Syn	beurré 2
arraché	Syn	rond Adj III
arraché	Syn	plein Adj V
arraché	Syn	pété
arraché	Syn	torché 2
arraché	Syn	déchiré III
arraché	Syn	raide Adj II
tata I	Syn	tantine
tata I	Syn	tatie
tata I	Syn	tante I
tata I	Contr	tonton
bagouse	Syn	bague I
caravanier Adj	S0	caravane I.1
assiettée	Syn	assiette 1 I.b
bagué	S1	doigt I.1a
bagué	S1	main I.a
tonton	Syn	oncle
tonton	Contr	tata I
bourré II	Syn	rempli II
blindé Adj I	Syn	cuirassé Adj
blindé Adj II	Syn	dur Adj III.1
blindé Adj II	Syn	endurci I
case 2	Syn	cabane I
case 2	Syn	cahute
boîte II.1	Syn	entreprise II.1
boîte II.1	Syn	maison IV.2
vinaire	S0	vin I.1
bol 2 I	Syn	chatte III.2
bol 2 I	Syn	cul III
bol 2 I	Syn	chance 1
bol 2 I	Syn	pot 2
bol 2 I	Sing	coup III.3
cellule I.1	Syn	chambre I
collier II.1	S2	chien I.a
bouteille 2a	Real1	déboucher 1 2
bouteille 2a	Real1	ouvrir I.2b
bouteille 2a	Real1	dépuceler II
bouteille 2a	Gener	récipient
bouteille 2a	Sloc	bouteillerie
bouteille 2a	Func2	contenir I
bouteille 2a	Func2	renfermer
bouteille 2a	Oper2	embouteiller
bouteille 2a	Epit	alcool II.2
bouteille 4	Syn	bonbonne
bouteille 4	S2	gaz I.1b
caisse II.2	S1	caissier
caisse II.2	S1	caissière
paternel Adj a	Adv0	paternellement
paternel Adj a	S0	père I.1a
paternel Adj a	S0	père I.1b
paternel Adj a	Syn	paternel Adj b
caissier	Syn	caissière
caissière	Syn	caissier
expéditeur	Syn	expéditrice
expéditrice	Syn	expéditeur
destinataire N, masc	Syn	destinataire N, fém
bonbec	Syn	bonbon
bonbec	S2	sucre a
bonbec	S1	confiseuse
bonbec	S1	confiseur
bonbec	S2	ingrédient
destinataire N, fém	Syn	destinataire N, masc
bière 2	Syn	cercueil I
caramel II	Gener	couleur I.1b
caramel I.2	Func0	confiseur
caramel I.2	Func0	confiseuse
domestique N, masc	Syn	employé N
domestique N, masc	Syn	domestique N, fém
domestique N, fém	Syn	domestique N, masc
cuvette II	Mult	W.-C. a
cuvette III	Syn	bassin III.2
chocolat III	Syn	brun I.a
chocolatier	Syn	chocolatière I
chocolatière I	Syn	chocolatier
chocolatière II	Gener	récipient
gym 1	Syn	gymnastique N I.1a
champ 2	Syn	champagne II.a
champ 2	Gener	vin I.1
champ 2	Gener	boisson I
champ 2	Gener	boisson alcoolisée
gymnaste N, masc	Syn	gymnaste N, fém
gymnaste N, fém	Syn	gymnaste N, masc
cacao I	Gener	graine a
cacao III	Syn	chocolat II
cacao III	Gener	boisson I
cacao III	Gener	boisson chaude
gymnastique Adj	S0	gymnastique N I.1a
jogger	S0	jogging I.2
joggeur	Syn	joggeuse
joggeuse	Syn	joggeur
coureur N II	Syn	coureuse II
coureur N II	Epit	automobile Adj
habitation I	V0	habiter I
habitation I	S1	habitant 1
habitation I	S1	habitante 1
habitation I	S2	habitation II
habitation I	A2	habité 2
plateau IV.1	Syn	plaine
plateau IV.1	Syn	montagne I.1
plateau IV.1	Syn	vallée I
plateau IV.1	Gener	relief I
binouze	Syn	bière 1 b
confiseur	Syn	confiseuse
poids lourd	Syn	camion
confiseuse	Syn	confiseur
habitant 1	Syn	habitante 1
gros Adj III.2	Syn	massif Adj II
habitante 1	Syn	habitant 1
chauffeur	S2	autobus
chauffeur	S2	autocar
chauffeur	S2	bus
chauffeur	S2	camion
chauffeur	S2	car N
chauffeur	Syn	chauffeuse
chauffeur	Gener	professionnel N
chauffeur	Gener	profession
camionneur	Syn	camionneuse
routier N	Syn	chauffeur
portefeuille II	Syn	capital
habité 2	Anti	inhabité
acheminer I.2	Syn	véhiculer I
acheminer I.2	Syn	transporter II
acheminer I.1	Syn	envoyer I.2
acheminer I.1	Syn	expédier I
transporter II	S0	transport II
transporter II	Able2	transportable
transporter II	Syn	acheminer I.2
transporter II	Syn	véhiculer I
transport II	V0	transporter II
transport II	Syn	déplacement III.1
transport I	V0	transporter I
tennis de table	Syn	ping-pong I.1
transporteur	Fact0	transporter II
pongiste N, masc	Syn	pongiste N, fém
pongiste N, fém	Syn	pongiste N, masc
transportable	Syn	déplaçable I
transports III.1	Func1	transporter I
transports III.1	Syn	transport ferroviaire
transport IV	A1	transporté
routier Adj	S0	route I
pot 2	Syn	chance 1
pot 2	Syn	bol 2 I
pot 2	Syn	chatte III.2
pot 2	Syn	cul III
fourgonnette	Syn	camionnette
pâtissier 2	Syn	pâtissière 2
pâtissier 2	Syn	boulanger N 2
pâtissier 2	Syn	boulanger-pâtissier 2
pâtissière 1	Syn	pâtissier 1
pâtissière 1	Syn	boulangère 1
pâtissière 1	Syn	boulangère-pâtissière 1
pongiste Adj	S0	ping-pong I.1
judoka N, masc	Syn	judoka N, fém
judoka N, masc	Syn	judokate
judoka N, fém	Syn	judokate
judoka N, fém	Syn	judoka N, masc
judokate	Syn	judoka N, fém
judokate	Syn	judoka N, masc
karatéka N, fém	Syn	karatékate
karatéka N, fém	Syn	karatéka N, masc
karatéka N, masc	Syn	karatéka N, fém
karatéka N, masc	Syn	karatékate
karatékate	Syn	karatéka N, fém
karatékate	Syn	karatéka N, masc
motocyclette	Syn	pétrolette
motocyclette	Syn	moto I
motocyclette	Syn	bécane I.2
motocyclette	Syn	meule III
meule I.1	Syn	broyeur
meule I.2	Gener	instrument 1
meule II	Syn	motte I.1a
meule III	Syn	bécane I.2
meule III	Syn	motocyclette
meule III	Syn	moto I
meule III	Syn	mobylette
rugbystique	S0	rugby 1
rugbyman N, fém	Syn	rugbyman N, masc
rugbyman N, fém	Syn	rugbywoman
rugbyman N, masc	Syn	rugbyman N, fém
rugbyman N, masc	Syn	rugbywoman
monture I	S1	lunettes I.2
monture II.1	S1	cavalier
monture II.1	S1	cavalière
monture II.2	Syn	moto I
monture II.2	Syn	motocyclette
monture II.2	Syn	meule III
motocycliste N, masc	Syn	motocycliste N, fém
motocycliste N, fém	Syn	motocycliste N, masc
motard	Syn	motarde
motarde	Syn	motard
eau I.c	Gener	boisson I
ferroviaire	S0	chemin de fer II
ferroviaire	S0	train 1 I
tasse I.b	Syn	verre II.1b
tasse I.b	Sloc	tasse I.a
doucher I.1	S0	douche I
doucher I.1	Sinstr	douche II.1
doucher I.1	Sloc	douche II.2
doucher I.1	Sloc	salle de bain
doucher I.1	Sloc	salle de douche
douche III	Syn	averse I
douche III	Labreal12	prendre IV.1
douche III	Labreal12	recevoir III.1
douche III	Labreal21	doucher II
chemin de fer I	Syn	voie ferrée
chemin de fer I	S1	train 1 I
chemin de fer I	Mult	chemin de fer II
chemin de fer I	Sing	rails I.1
chemin de fer II	A0	ferroviaire
chemin de fer II	Sing	train 1 I
chemin de fer II	Sing	chemin de fer I
chemin de fer II	Instr	en Prép IV.1
chemin de fer II	Syn	réseau II
chemin de fer II	Syn	métro I
chemin de fer II	Syn	tramway II
chemin de fer II	S1	usager
chemin de fer II	S1	usagère
chemin de fer II	Sing	ligne III.1
chemin de fer II	Oper2	disposer II
chemin de fer II	Oper2	posséder II.1
chemin de fer II	Real1	emprunter III
chemin de fer II	Real1	prendre III.1b
chemin de fer II	Real1	utiliser II
rail I.2	Syn	barre 1
voie ferrée	Syn	chemin de fer I
voie ferrée	Sing	rails I.1
voie ferrée	Syn	rails I.1
vase N, fém	A0	vaseux
tram I	Syn	tramway I
vaseux	Syn	boueux
bagnole	Syn	caisse III
bagnole	Syn	auto I
bagnole	Syn	automobile N I
bagnole	Syn	voiture 2a
caisse III	Syn	bagnole
caisse III	Syn	auto I
caisse III	Syn	automobile N I
caisse III	Syn	voiture 2a
ballon ovale	Syn	rugby 1
ballon ovale	Contr	ballon rond
occupant N I	Syn	occupante
skieur	Syn	skieuse
skieuse	Syn	skieur
crawler	Syn	nager I.b
héberger II	S0	hébergement II
hébergement I	V0	héberger I
loger 2	Syn	héberger I
loger 2	Syn	installer I.1
rugbywoman	Syn	rugbyman N, fém
rugbywoman	Syn	rugbyman N, masc
joueur N 2	Syn	joueuse 2
joueuse 2	Syn	joueur N 2
hôte N, masc 1	Syn	hôtesse
hôte N, masc 1	Syn	hôte N, fém 1
hôte N, masc 1	Conv-ij	hôte N, masc 2a
hôte N, masc 1	Conv-ij	hôte N, fém 2a
hôtesse	Syn	hôte N, masc 1
hôtesse	Syn	hôte N, fém 1
hôtesse	Conv-ij	hôte N, masc 2a
hôtesse	Conv-ij	hôte N, fém 2a
vengeance	V0	venger I
vengeance	V0	se venger
tennistique	S0	tennis N, masc I.1
tennisman N, masc	Syn	tenniswoman
tennisman N, masc	Syn	tennisman N, fém
tennisman N, fém	Syn	tenniswoman
tennisman N, fém	Syn	tennisman N, masc
tenniswoman	Syn	tennisman N, fém
tenniswoman	Syn	tennisman N, masc
hôte N, masc 2a	Syn	hôte N, fém 2a
hôte N, masc 2a	Conv-ij	hôte N, masc 1
hôte N, masc 2a	Conv-ij	hôte N, fém 1
hôte N, masc 2a	Conv-ij	hôtesse
vengeur N	Syn	vengeresse
apiculteur	Syn	apicultrice
apicultrice	Syn	apiculteur
hôte N, fém 2a	Syn	hôte N, masc 2a
hôte N, fém 2a	Conv-ij	hôte N, masc 1
hôte N, fém 2a	Conv-ij	hôte N, fém 1
hôte N, fém 2a	Conv-ij	hôtesse
cyclisme	Syn	vélo II
cyclisme	Real1	pratiquer I
cyclisme	Gener	sport N I
cyclisme	Syn	petite reine 2
cyclisme	A0	cycliste Adj
cyclisme	S1	cycliste N, fém I
cyclisme	S1	cycliste N, masc I
vélo II	Syn	cyclisme
vélo II	Syn	petite reine 2
vélo II	Syn	bicyclette II
vélo II	Able2	cyclable
vélo II	S1	cycliste N, masc I
vélo II	S1	cycliste N, fém I
vélo II	Oper1	faire II.1
vélo II	A0	cycliste Adj
vélo II	Oper1	pratiquer I
vélo II	Sloc	vélodrome
vengeur Adj I	S1	acte I
vengeur Adj I	S1	action I.1
bécane I.1	Syn	biclo
bécane I.1	Syn	biclou
bécane I.1	Syn	petite reine 1
bécane I.1	Syn	vélocipède
bécane I.1	Syn	bicyclette I
bécane I.1	Syn	vélo I
bécane I.2	Syn	meule III
bécane I.2	Syn	motocyclette
bécane I.2	Syn	moto I
col III	Syn	gorge III.1
volley 1	Syn	volley de plage 1
volley 1	Syn	beach-volley 1
volley 1	Syn	volley-ball 1
bécane II	Syn	ordinateur
biclo	Syn	bécane I.1
biclo	Syn	biclou
biclo	Syn	petite reine 1
biclo	Syn	vélocipède
biclo	Syn	bicyclette I
biclo	Syn	vélo I
biclou	Syn	bécane I.1
biclou	Syn	biclo
biclou	Syn	petite reine 1
biclou	Syn	vélocipède
biclou	Syn	bicyclette I
biclou	Syn	vélo I
volleyeur	Syn	volleyeuse
volleyeuse	Syn	volleyeur
hospitalier 1	S0	hôpital
hospitalier 2	S0	hospitalité
pâtisserie I	S1	pâtissier 1
pâtisserie I	S1	pâtissière 1
pâtisserie II	S2	pâtissière 1
pâtisserie II	S2	pâtissier 1
pâtisserie II	Syn	éclair 2
pâtisserie II	Syn	fondant N II
pâtisserie II	Syn	opéra 2
pâtisserie II	Syn	pièce montée I
pâtisserie II	Syn	viennoiserie
pâtisserie II	Syn	dessert
autel	Syn	sainte table
voyoute 2	Syn	voyou N 2
fret I	Syn	cargaison
fret I	Syn	chargement II
foot 1	Syn	football 1
foot 1	Oper1	foot 1
ballon rond	Syn	football 1
ballon rond	Syn	soccer
ballon rond	Contr	ballon ovale
soccer	Syn	ballon rond
soccer	Syn	football 1
hôtelier Adj	S0	hôtel I
hôtelier N	Syn	hôtelière
betterave	Gener	plante 1
footballistique	S0	football 1
hôtelière	Syn	hôtelier N
footballeur	Syn	footballeuse
footballeuse	Syn	footballeur
cote I	Syn	quote-part a
bâtiment II	Syn	bateau N 1 I
vaisseau II	Syn	bateau N 1 I
vaisseau II	Syn	drakkar
engin de navigation	Syn	bateau N 1 I
hôte N, masc 2b	Syn	hôte N, fém 2b
hôte N, masc 2b	Syn	client
canne II.1	Syn	bâton 1
aile II.1	Mult	avion I
aile III.2	S1	nez I.a
cannes II.2	Syn	jambes I.1
cannes II.2	Syn	gambettes
cannes II.2	Syn	guibolles
cannes II.2	Syn	pattes I.2
grain II.a	Syn	fragment I
grain II.b	Syn	pointe III
sportif Adj I.1	S0	sport N I
sportif Adj I.1	Syn	sport Adj I
lessive III	Syn	linge I.a
lessive III	Real1	étendre II.2
lessive III	Real1	laver I.2
lessive III	Real1	repasser II
lessive III	Fact0	sécher I
conducteur I.b	Syn	conductrice b
conducteur I.b	S2	autobus
conducteur I.b	S2	autocar
conducteur I.b	S2	bus
conducteur I.b	S2	camion
conducteur I.b	S2	car N
conducteur I.b	S2	métro II.1
conducteur I.b	S2	train 1 I
conducteur I.b	S2	tramway I
conducteur I.b	Syn	machiniste N, masc 2
